No,Title,BodyPart
585,MetaBurn Psycho Crunch,Abdominals
586,MetaBurn Scapular Retraction Plank,Abdominals
587,MetaBurn Scapular Retraction Plank Hold,Abdominals
588,MetaBurn Scorpion,Abdominals
589,MetaBurn Side Crawler,Abdominals
590,MetaBurn Side Plank Oblique Crunch,Abdominals
591,MetaBurn Sit-Through,Abdominals
592,MetaBurn Sit-Up To V-Up,Abdominals
593,MetaBurn Sit-Up With Rotation,Abdominals
594,MetaBurn Split-Leg Crunch,Abdominals
595,MetaBurn Tabletop Hip Thrust,Abdominals
596,MetaBurn Tabletop With Russian Kick,Abdominals
597,MetaBurn Toe Driver Abs,Abdominals
598,MetaBurn-V-Up,Abdominals
599,X-body V-up,Abdominals
600,MetaBurn Swivel Crunch,Abdominals
601,Robertson Core-Engaged Dead Bug,Abdominals
602,FYR2 Double-Under,Abdominals
603,FYR2 Fire Feet with Burpee Tuck Jump Drill,Abdominals
604,FYR2 Flutter Kick,Abdominals
605,FYR2 Half-Moon,Abdominals
606,FYR2 Leopard Crawl,Abdominals
607,FYR2 Plank Alternating Front Step,Abdominals
608,FYR2 Shoulder Tap,Abdominals
609,Hand shift plank,Abdominals
610,Cross-body plank march,Abdominals
611,Bent-knee Copenhagen hip adduction,Abdominals
612,Copenhagen plank,Abdominals
613,ACFT Hanging leg tuck,Abdominals
614,Alternating hanging knee raise,Abdominals
615,Plank To Sphinx,Abdominals
616,Twisting Mountain Climbers,Abdominals
617,Jack Knives,Abdominals
618,Hanging Leg Raises,Abdominals
619,Dumbbell suitcase crunch,Abdominals
620,Medicine ball rotational throw,Abdominals
621,Hollow-hold ball toss,Abdominals
622,Partner front Russian twist and pass,Abdominals
623,Sit-up with single-arm overhand throw,Abdominals
624,Medicine ball partner twist,Abdominals
625,Partner side Russian twist and pass,Abdominals
626,Medicine ball half moon,Abdominals
627,Exercise ball roll-out,Abdominals
628,Medicine ball pass,Abdominals
629,Partner medicine ball sit-up,Abdominals
630,Medicine ball Russian twist,Abdominals
631,30 Medicine Ball Slam,Abdominals
632,Medicine ball twist,Abdominals
633,FYR2 Medicine Ball Complex,Abdominals
634,FYR2 Medicine Ball Fire-Feet Drill,Abdominals
635,FYR2 Medicine Ball Knees-to-Chest,Abdominals
636,FYR2 Medicine Ball Mountain Climber,Abdominals
